🕘️更新时间,#genre#
2026-07-13 16:08:23,http://8.138.7.223/tv/mgitv.php?id=6

📺央视频道,#genre#
CCTV-1 综合,http://8.138.7.223/tv/mgitv.php?id=6
CCTV-1 综合,http://8.138.7.223/tv/mgitv.php?id=1
CCTV-1 综合,http://8.138.7.223/tv/mgitv.php?id=4
CCTV-1 综合,http://8.138.7.223/tv/mgitv.php?id=7
CCTV-1 综合,http://8.138.7.223/tv/mgitv.php?id=5
CCTV-1 综合,http://112.46.85.60:8009/hls/501/index.m3u8
CCTV-1 综合,https://iptv.catvod.com/live.php?id=CCTV1&line=14
CCTV-1 综合,https://iptv.catvod.com/live.php?id=CCTV1&line=6
CCTV-1 综合,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV-1 综合,http://198.204.240.250:82/live/cctv1.m3u8
CCTV-1 综合,https://iptv.catvod.com/live.php?id=CCTV1&line=16
CCTV-1 综合,http://112.27.235.94:8000/hls/1/index.m3u8
CCTV-1 综合,http://69.30.245.50/live/cctv1.m3u8
CCTV-1 综合,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
CCTV-1 综合,http://182.150.23.74:808/hls/1/index.m3u8
CCTV-2 财经,http://8.138.7.223/tv/mgitv.php?id=10
CCTV-2 财经,http://8.138.7.223/tv/mgitv.php?id=9
CCTV-2 财经,http://8.138.7.223/tv/mgitv.php?id=11
CCTV-2 财经,http://drive.mxmy.net:8888/udp/239.3.1.60:8084
CCTV-2 财经,https://iptv.catvod.com/live.php?id=CCTV2&line=8
CCTV-2 财经,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV-2 财经,http://112.46.85.60:8009/hls/502/index.m3u8
CCTV-2 财经,http://112.27.235.94:8000/hls/2/index.m3u8
CCTV-2 财经,https://iptv.catvod.com/live.php?id=CCTV2&line=4
CCTV-2 财经,https://iptv.catvod.com/live.php?id=CCTV2&line=5
CCTV-2 财经,http://182.150.23.74:808/hls/2/index.m3u8
CCTV-2 财经,http://218.13.170.98:9901/tsfile/live/0002_1.m3u8
CCTV-2 财经,http://61.136.172.236:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2 财经,http://61.136.172.236:9901/tsfile/live/0002_1.m3u8
CCTV-2 财经,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8
CCTV-3 综艺,http://8.138.7.223/tv/mgitv.php?id=15
CCTV-3 综艺,http://8.138.7.223/tv/mgitv.php?id=13
CCTV-3 综艺,http://8.138.7.223/tv/mgitv.php?id=14
CCTV-3 综艺,http://8.138.7.223/tv/mgitv.php?id=12
CCTV-3 综艺,http://8.138.7.223/tv/mgitv.php?id=16
CCTV-3 综艺,http://112.46.85.60:8009/hls/3/index.m3u8
CCTV-3 综艺,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV-3 综艺,https://iptv.catvod.com/live.php?id=CCTV3&line=6
CCTV-3 综艺,https://iptv.catvod.com/live.php?id=CCTV3&line=4
CCTV-3 综艺,https://iptv.catvod.com/live.php?id=CCTV3&line=3
CCTV-3 综艺,https://iptv.catvod.com/live.php?id=CCTV3&line=5
CCTV-3 综艺,https://iptv.catvod.com/live.php?id=CCTV3&line=7
CCTV-3 综艺,http://112.27.235.94:8000/hls/3/index.m3u8
CCTV-3 综艺,http://123.130.84.106:8154/tsfile/live/0003_1.m3u8
CCTV-3 综艺,http://182.150.23.74:808/hls/3/index.m3u8
CCTV-4 中文国际,http://8.138.7.223/tv/mgitv.php?id=20
CCTV-4 中文国际,http://8.138.7.223/tv/mgitv.php?id=17
CCTV-4 中文国际,http://8.138.7.223/tv/mgitv.php?id=18
CCTV-4 中文国际,http://183.223.157.33:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4 中文国际,http://8.138.7.223/tv/mgitv.php?id=19
CCTV-4 中文国际,http://drive.mxmy.net:8888/udp/239.3.1.213:4220
CCTV-4 中文国际,http://drive.mxmy.net:8888/udp/239.3.1.214:4220
